x,y,P
0.0,0.0,6.3440
0.061,0.0953,6.5900
0.2149,0.2710,6.9800
0.3187,0.3600,7.1400
0.432,0.4453,7.1710
0.5246,0.5106,7.2160
0.6117,0.5735,7.1400
0.7265,0.6626,6.9740
0.804,0.7213,6.8450
0.883,0.8200,6.6170
0.8999,0.8382,6.5570
1.0,1.0,6.0730
